schema_id,push,task_id,month,priority,url,schema_type,current_state,target_state,nested_types,validator_required,notes
SC-01,Push 1,BC-02,M1,P0,https://www.niagararecovery.com/,LocalBusiness,"name field ambiguous; image references niagararecovery.com/wp-content/* (WP debris on Webflow build); @id missing",LocalBusiness with name=Niagara Recovery + live Webflow image + canonical @id + full NAP + 24/7 hours + sameAs to GBP,"@id=https://www.niagararecovery.com/#organization; sameAs=[GBP URL, FB, IG, Twitter]; aggregateRating from GBP (4.3 / 47)",Yes — validator.schema.org + Google RRT,Drop /wp-content/ image URL. Use the live Webflow CDN asset. AggregateRating reference must match GBP source-of-truth.
SC-02,Push 1,BC-02,M1,P0,https://www.niagararecovery.com/about-us,AboutPage,Already deployed but image URL has WP-content debris,AboutPage with mainEntity = LocalBusiness @id reference,mainEntity references @id from SC-01,Yes,Reference the canonical org by @id rather than nesting full org.
SC-03,Push 1,BC-02,M1,P0,https://www.niagararecovery.com/contact-us,ContactPage,Already deployed but name field may reference old brand,"ContactPage with mainEntity = LocalBusiness, contactPoint specifying intake + emergency",mainEntity @id reference; ContactPoint nested,Yes,Confirm ContactPoint telephone matches canonical (716) 203-8000.
SC-04,Push 3,SCHEMA-02,M1,P0,https://www.niagararecovery.com/services/alcohol-detoxification-services,Service,0 schema currently,Service nested with provider=MedicalBusiness reference + serviceType + areaServed,"provider=@id ref to SC-01; serviceType=Alcohol Detoxification; areaServed=[Newfane, Lockport, Niagara Falls, Buffalo metro]; audience.suggestedMinAge=18",Yes,Match the new SP-01 page rewrite. MedicalBusiness as provider via @id reference (do not duplicate full org block).
SC-05,Push 3,SCHEMA-02,M1,P0,https://www.niagararecovery.com/services/opioid-detoxification-services,Service,0 schema currently,Service nested + serviceType=Opioid Detoxification,Same pattern as SC-04,Yes,Same as SC-04 with serviceType override.
SC-06,Push 3,SCHEMA-02,M2,P0,https://www.niagararecovery.com/services/drug-detox-services,Service,0 schema currently,Service nested + serviceType=Drug Detoxification + hasOfferCatalog (per-substance modalities),"hasOfferCatalog includes: opioids, amphetamines, cocaine, poly-drug, benzo (link to /services/benzodiazepines-detoxification)",Yes,SP-02 page rewrite is the largest captured volume (6600/mo). Schema is the most-tested.
SC-07,Push 3,SCHEMA-02,M1,P0,https://www.niagararecovery.com/services/benzodiazepines-detoxification,Service,0 schema currently,Service nested + serviceType=Benzodiazepines Detoxification + medicalSpecialty=Psychiatry,Same provider pattern,Yes,Highlight the safe tapering method in description field.
SC-08,Push 3,SCHEMA-02,M1,P0,https://www.niagararecovery.com/services/short-term-residential-program,Service,0 schema currently,Service nested + serviceType=Inpatient Residential Treatment + audience,Same provider pattern,Yes,28-day program length emphasis (matches GBP-search demand for "28 day rehabs").
SC-09,Push 3,SP-03,M2,P1,https://www.niagararecovery.com/services/suboxone-mat-program (NEW URL),Service,N/A (URL doesn't exist yet),Service nested + serviceType=Medication-Assisted Treatment + hasOfferCatalog (Suboxone induction + Vivitrol + methadone-referral),"hasOfferCatalog: Suboxone, Vivitrol, methadone referral. medicalSpecialty=Psychiatry. audience.suggestedMinAge=18.",Yes,New URL build per SP-03. Schema fires on day 1 of page launch.
SC-10,Push 3,SCHEMA-02,M1,P0,https://www.niagararecovery.com/treatments,WebPage,0 schema currently,WebPage with mainEntity = MedicalBusiness + hasOfferCatalog listing 5 service offerings nested,"hasOfferCatalog enumerates the 5 base /services/* URLs",Yes,The /treatments hub should aggregate the service catalog at the schema level.
SC-11,Push 4,LP-01,M1,P1,https://www.niagararecovery.com/locations/williamsville,MedicalBusiness,0 schema currently,MedicalBusiness with areaServed=Williamsville + sameAs=GBP + provider relationship to @id SC-01,"areaServed=City Williamsville; address references Newfane HQ; aggregateRating from GBP",Yes,"Use areaServed not address change — only one physical pin (Newfane). Pull aggregateRating from GBP."
SC-12,Push 4,LP-02,M1,P1,https://www.niagararecovery.com/locations/cheektowaga,MedicalBusiness,0 schema currently,Same pattern as SC-11 with areaServed=Cheektowaga,Same pattern,Yes,Same as SC-11.
SC-13,Push 4,LP-03,M2,P1,https://www.niagararecovery.com/locations/tonawanda (NEW),MedicalBusiness,N/A (URL = 404),Same pattern + areaServed=Tonawanda + drive directions,Same pattern,Yes,New URL build per LP-03.
SC-14,Push 4,LP-04,M2,P1,https://www.niagararecovery.com/locations/north-tonawanda (NEW),MedicalBusiness,N/A (URL = 404),Same pattern + areaServed=North Tonawanda,Same pattern,Yes,New URL build per LP-04.
SC-15,Push 4,LP-05,M2,P1,https://www.niagararecovery.com/locations/lewiston (NEW),MedicalBusiness,N/A (URL missing),Same pattern + areaServed=Lewiston,Same pattern,Yes,New URL build per LP-05.
SC-16,Push 4,LP-06,M3,P1,https://www.niagararecovery.com/locations/youngstown (NEW),MedicalBusiness,N/A (URL missing),Same pattern + areaServed=Youngstown,Same pattern,Yes,New URL build per LP-06.
SC-17,Push 4,LP-07,M2,P1,https://www.niagararecovery.com/locations/lockport,MedicalBusiness,0 schema (thin 276w doorway),Same pattern + areaServed=Lockport + enumeration of Lockport-area neighborhoods (Ridgewood / N. Ridge / Highland Park / Cambria Center / Hickory Corners / Warrens Corners / Wrights Corners),"areaServed lists Lockport + 7 neighborhood-level locations (mirrors the 7 micros being dropped from GBP)",Yes,The 7 GBP-SA micros being dropped get rolled into Lockport schema's areaServed enumeration as a backup signal.
SC-18,Push 4,LP-08,M3,P2,https://www.niagararecovery.com/locations/niagara-falls,MedicalBusiness,0 schema (thin 278w doorway),Same pattern + areaServed=Niagara Falls,Same pattern,Yes,M3 priority.
SC-19,Push 4,LP-09,M3,P2,https://www.niagararecovery.com/locations/amherst,MedicalBusiness,0 schema (thin 276w doorway),Same pattern + areaServed=Amherst,Same pattern,Yes,M3 priority.
SC-20,Push 1,BC-04,M1,P0,https://www.niagararecovery.com/locations/buffalo,MedicalBusiness,0 schema + page has fabricated "facility in Buffalo NY 14215" body claim,MedicalBusiness with areaServed=Buffalo + address references ONLY Newfane HQ + no implication of second location,"areaServed=City Buffalo + Erie County; address points to Newfane only",Yes,Critical: the schema must NOT create a second business entity for Buffalo. The page body rewrite (BC-04) must align: "serving Buffalo metro from Newfane" not "facility in Buffalo".
SC-21,Push 5,CC-02,M1,P1,5 high-CTR blog URLs (per Niagara_Recovery_Page_Refresh_Pages.csv),Article,0 schema currently,Article schema with author + medicalReviewedBy + dateModified + about reference to MedicalBusiness,"author=canonical author; medicalReviewedBy=Medical Director name (Owner confirm); about=@id ref to SC-01; dateModified=ISO date",Yes,Article + medicalReviewedBy is the YMYL signal Google rewards for addiction-treatment vertical content.
