task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
LP-01_M1,Site Architecture,M1,Aleksa + Content + Dev,Bleeding/deindexed location pages refresh - M1 batch (11 pages per sheet),"33 location pages flagged in the bleeding/deindexed cohort. M1 batch handles 11 pages prioritized by impression volume. Top examples include /old-mill-basin (1,964 imp at -83%), /accredited-addiction-recovery-center-in-bay-ridge-ny (992 imp at -79%), /restorative-addiction-rehab-in-crown-heights-ny (1,021 words deindexed).","Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-01_Bleeding_Refresh"", filter by month = M1. For each row: apply the action listed (refresh for KEEP-AUDIT/AUDIT, 301 for REDIRECT/DELETE+REDIRECT - deduplicate with LP-02). Refresh = title + intro rewrite + internal links to /treatments hub + Request Indexing in GSC.",P0-must,6,All 11 M1 pages actioned per sheet; refreshed pages have GSC Request Indexing submitted; row marked complete in sheet,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
LP-01_M2,Site Architecture,M2,Aleksa + Content + Dev,Bleeding/deindexed location pages refresh - M2 batch (11 pages per sheet),"33 location pages flagged in the bleeding/deindexed cohort. M2 batch handles 11 pages prioritized by impression volume. Top examples include /old-mill-basin (1,964 imp at -83%), /accredited-addiction-recovery-center-in-bay-ridge-ny (992 imp at -79%), /restorative-addiction-rehab-in-crown-heights-ny (1,021 words deindexed).","Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-01_Bleeding_Refresh"", filter by month = M2. For each row: apply the action listed (refresh for KEEP-AUDIT/AUDIT, 301 for REDIRECT/DELETE+REDIRECT - deduplicate with LP-02). Refresh = title + intro rewrite + internal links to /treatments hub + Request Indexing in GSC.",P0-must,6,All 11 M2 pages actioned per sheet; refreshed pages have GSC Request Indexing submitted; row marked complete in sheet,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
LP-01_M3,Site Architecture,M3,Aleksa + Content + Dev,Bleeding/deindexed location pages refresh - M3 batch (11 pages per sheet),"33 location pages flagged in the bleeding/deindexed cohort. M3 batch handles 11 pages prioritized by impression volume. Top examples include /old-mill-basin (1,964 imp at -83%), /accredited-addiction-recovery-center-in-bay-ridge-ny (992 imp at -79%), /restorative-addiction-rehab-in-crown-heights-ny (1,021 words deindexed).","Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-01_Bleeding_Refresh"", filter by month = M3. For each row: apply the action listed (refresh for KEEP-AUDIT/AUDIT, 301 for REDIRECT/DELETE+REDIRECT - deduplicate with LP-02). Refresh = title + intro rewrite + internal links to /treatments hub + Request Indexing in GSC.",P0-must,6,All 11 M3 pages actioned per sheet; refreshed pages have GSC Request Indexing submitted; row marked complete in sheet,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
LP-02_M1,Site Architecture,M1,Dev,Location-page redirects - M1 batch (10 redirects per sheet),28 empty doorway pages have a REDIRECT decision (25 to /areas-served + 3 to parent locations). Spread across 3 months to manage Dev capacity and allow GSC re-crawl per batch.,"Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-02_Redirects"", filter by month = M1. For each row: push 301 via WordPress redirect plugin or .htaccess; remove URL from sitemap; submit URL inspection in GSC. Log submission date in sheet.",P0-must,3,All 10 M1 redirects deployed; URLs removed from sitemap; GSC URL inspection submitted,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/Dev/301-Redirect-SOP
LP-02_M2,Site Architecture,M2,Dev,Location-page redirects - M2 batch (9 redirects per sheet),28 empty doorway pages have a REDIRECT decision (25 to /areas-served + 3 to parent locations). Spread across 3 months to manage Dev capacity and allow GSC re-crawl per batch.,"Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-02_Redirects"", filter by month = M2. For each row: push 301 via WordPress redirect plugin or .htaccess; remove URL from sitemap; submit URL inspection in GSC. Log submission date in sheet.",P0-must,3,All 9 M2 redirects deployed; URLs removed from sitemap; GSC URL inspection submitted,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/Dev/301-Redirect-SOP
LP-02_M3,Site Architecture,M3,Dev,Location-page redirects - M3 batch (9 redirects per sheet),28 empty doorway pages have a REDIRECT decision (25 to /areas-served + 3 to parent locations). Spread across 3 months to manage Dev capacity and allow GSC re-crawl per batch.,"Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-02_Redirects"", filter by month = M3. For each row: push 301 via WordPress redirect plugin or .htaccess; remove URL from sitemap; submit URL inspection in GSC. Log submission date in sheet.",P0-must,3,All 9 M3 redirects deployed; URLs removed from sitemap; GSC URL inspection submitted,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/Dev/301-Redirect-SOP
LP-03_M1,Site Architecture,M1,Aleksa + Content,Location pages content upgrade - M1 batch (3 pages),"9 borough/anchor pages flagged UPGRADE. M1 batch handles 3 pages: /locations/staten-island, /locations/queens, /locations/new-york-city. These are highest-priority by GSC impressions in their bucket.","Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-03_Upgrades"", filter by month = M1. Content team writes 1,200+ words per page using Brooklyn-anchored template + city/neighborhood-specific intro (transit, distance to facility, local context). Standard sections: insurance, treatments, what-to-expect, FAQ, intake CTA. Schema deployed via LP-04 in same month.",P0-must,12,3 upgrade pages have city-specific content live; Request Indexing submitted,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
LP-03_M2,Site Architecture,M2,Aleksa + Content,Location pages content upgrade - M2 batch (3 pages),"9 borough/anchor pages flagged UPGRADE. M2 batch handles 3 pages: /locations/manhattan, /locations/harlem, /locations/brooklyn. These are highest-priority by GSC impressions in their bucket.","Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-03_Upgrades"", filter by month = M2. Content team writes 1,200+ words per page using Brooklyn-anchored template + city/neighborhood-specific intro (transit, distance to facility, local context). Standard sections: insurance, treatments, what-to-expect, FAQ, intake CTA. Schema deployed via LP-04 in same month.",P0-must,12,3 upgrade pages have city-specific content live; Request Indexing submitted,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
LP-03_M3,Site Architecture,M3,Aleksa + Content,Location pages content upgrade - M3 batch (3 pages),"9 borough/anchor pages flagged UPGRADE. M3 batch handles 3 pages: /locations/brownsville, /locations/inwood, /locations/bronx. These are highest-priority by GSC impressions in their bucket.","Open Surfpoint_Location_Pages_Plan_3Month.xlsx tab ""LP-03_Upgrades"", filter by month = M3. Content team writes 1,200+ words per page using Brooklyn-anchored template + city/neighborhood-specific intro (transit, distance to facility, local context). Standard sections: insurance, treatments, what-to-expect, FAQ, intake CTA. Schema deployed via LP-04 in same month.",P0-must,12,3 upgrade pages have city-specific content live; Request Indexing submitted,Surfpoint_Location_Pages_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
LP-04_M1,On-Page Schema,M1,Aleksa + Dev,Schema deployment - M1 batch (5 pages: 3 location + 2 core),0 of 99 location pages have schema; 9 of 13 core pages also lack schema. M1 batch deploys schema on 3 location upgrades (from LP-03 same month) + 2 core pages.,"Open Surfpoint_Schema_Plan_3Month.xlsx tab ""Schema_Deployment"", filter by month = M1. For each row: deploy the schema type listed (LocalBusiness for locations + core conversion pages; CollectionPage for /blog; Organization for /careers). Validate every URL via Rich Results Test before merge.",P0-must,4,Rich Results Test pass on all 5 M1 URLs,Surfpoint_Schema_Plan_3Month.xlsx,HQDM/A - HQDM SOPs/On-Page/Schema-Deployment-SOP
