page_id,push,task_id,action_type,month,priority,url,redirect_target_url,target_primary_query,target_secondary_queries,target_volume_monthly,current_rank,target_rank_60d,specific_changes,why_data,brief_section
PA-01,2,HP-01,SCHEMA_FIX,M1,P0-must,/,,urban recovery brooklyn,"urban recovery; drug rehab brooklyn",1357 brand clicks/365d,pos 2.26 brand,maintain,"View-source edit: LocalBusiness JSON-LD telephone property — replace +1-646-960-6656 with +1-646-347-1892. The only schema block sitewide; no other on-page changes required. RRT pass before merge. Request GSC re-crawl post-deploy.","Homepage LocalBusiness JSON-LD telephone shows (646) 960-6656; GBP canonical is (646) 347-1892. Entity-trust mismatch in the only schema block on the site. One-line schema fix.",Push2 sec1
PA-02,2,SP-01,UPGRADE,M2,P0-must,/services/alcohol-detoxification-service,,alcohol detox brooklyn,"alcohol rehab brooklyn; alcohol detox new york; medical alcohol detox brooklyn",~880,pos 1-3 organic / near-zero CTR,top 3 + CTR ≥3%,"Build from current 872-word doorway to 1,400-1,600 words. H1: 'Alcohol Detox in Brooklyn — Medical Supervision at Urban Recovery Red Hook'. Hero block: medical-supervision protocol + same-day intake + Red Hook location + women-owned/LGBTQ+/transgender-safespace differentiator. Sub-sections: clinical model (CIWA + benzo taper protocol) + insurance (Medicaid + Aetna + Cigna + BCBS — pending Owner Items #2) + MAT-adjacency context + Areas We Serve (Red Hook + Carroll Gardens + Gowanus + Park Slope + Boerum Hill + Sunset Park + Downtown Brooklyn). Intake form with phone (646-347-1892) + 24/7 availability. FAQ block 5-7 Qs. Service + LocalBusiness + FAQPage JSON-LD. RRT pass before publish.","Current page 872 words / 0 JSON-LD per live HTTP probe. UR pin-ranks 2.16 avg on 'alcohol rehab brooklyn' across 13×13 LD grid — on-page lift converts that GBP authority into organic clicks. 'recovery center brooklyn' 13.77K imp / 0 clicks @ pos 3.55 is the conversion-leak headline; SP-01 carries the alcohol cluster of that intent.",Push2 sec2
PA-03,2,SP-02,UPGRADE,M3,P0-must,/services/opioid-detoxification-services,,opioid detox brooklyn,"opioid rehab brooklyn; mat treatment brooklyn; suboxone clinic brooklyn; buprenorphine treatment new york",~880,pos 1-3 organic / near-zero CTR,top 3 + CTR ≥3%,"Same template as SP-01 with opioid-specific clinical content. H1: 'Opioid Detox & MAT in Brooklyn — Urban Recovery Red Hook'. MAT modalities sub-section: Buprenorphine + Naltrexone + Vivitrol clinical detail. 'What to expect on MAT' end-block. Same insurance + Areas We Serve + intake + differentiator. Cross-link from upgraded SP-01 + CON-03 Q-format Medicaid opioid detox article. Service + LocalBusiness + FAQPage JSON-LD.","MAT-specific intent + LLM-citation differentiator. Current page ~800-1,000 words; upgrade matches SP-01 template. Cross-pollinates with Push 5 CON-03 Q-format LLM article.",Push2 sec3
PA-04,2,SP-03,DEFERRED,Q3,Q3-defer,/services/short-term-residential-program,,inpatient drug rehab brooklyn,"inpatient alcohol rehab brooklyn; inpatient rehab brooklyn; 24 hour rehab brooklyn",~1600,pos 1-3 / near-zero CTR,top 5 + CTR ≥3%,"DEFERRED to Q3 — full SP-01/SP-02-template upgrade pending those builds proving the template. M2 ON-02 page-refresh on this URL (PA-05) lands the explicit 'Inpatient' framing as a 90-day quick-win without the full rebuild.","SP-03 carries the 'inpatient rehab' query cluster. Counter the SNF category drift via M2 ON-02 page-refresh first; full rebuild Q3 after template proven.",Push4 sec3
PA-05,4,ON-02-Inpatient,REFRESH,M2,P0-must,/services/short-term-residential-program,,inpatient rehab brooklyn,"inpatient drug rehab brooklyn; inpatient alcohol rehab brooklyn; 24 hour medical rehab brooklyn",~1600,pos 1-4 organic / near-zero CTR,top 5 + CTR ≥3%,"Visible page-element refresh: rewrite H1 to 'Inpatient Drug & Alcohol Rehab in Brooklyn — 24-Hour Medical Supervision at Urban Recovery'. Hero block uses explicit 'inpatient' framing throughout — 24/7 medical supervision + same-day admission. Body content addition: 'Why inpatient' clinical-decision block explicitly differentiating from skilled-nursing-facility (SNF) inpatient. Intake CTA placement above the fold with phone (646-347-1892). Verify body links route to relevant /services/* + /admission-overview. No URL change. WordPress visible-elements edit only (no schema deploy until SP-03 in Q3).","'inpatient rehab' LD grid: 85→75 cells over 90d (-10). Brooklyn Center for Rehabilitation and Nursing (SNF) entered the category 0→102 cells. Page currently doesn't use 'inpatient' in primary framing. Explicit 'Inpatient Drug & Alcohol Rehab' framing differentiates from SNF entity-class signal.",Push4 sec1
PA-06,2,ON-02,REFRESH,M2,P0-must,/services/alcohol-detoxification-service,,alcohol detox brooklyn,,~880,covered by SP-01,covered by SP-01,"Covered by SP-01 PA-02 upgrade in M2 (full rebuild including visible elements). No separate ON-02 row needed.","SP-01 is a full upgrade — ON-02 refresh subsumed.",Push2 sec2
PA-07,2,ON-02,REFRESH,M2,P0-must,/services/drug-detoxification-services,,drug detox brooklyn,"medical drug detox brooklyn",~660,pos 1-4 / near-zero CTR,CTR ≥3%,"Visible page-element refresh: H1 to 'Drug Detox in Brooklyn — Medical Supervision at Urban Recovery'. Hero block emphasizes medical supervision + 24-hour admission + Red Hook proximity + insurance acceptance. Body content addition: 'Substances we detox' enumerating opioids/alcohol/benzos/stimulants/polysubstance with links to dedicated service pages. Intake CTA above fold. Phone (646-347-1892). NO full rebuild — visible elements only this quarter.","9,269 local-intent queries rank pos 1-3 with near-zero CTR. This page is part of the cluster.",Push2 sec2
PA-08,2,ON-02,REFRESH,M2,P0-must,/services/benzodiazepines-detox-services,,benzo detox brooklyn,"benzodiazepine rehab brooklyn",~310,pos 1-4 / near-zero CTR,CTR ≥2%,"Visible page-element refresh: H1 to 'Benzodiazepine Detox in Brooklyn — Medically Supervised Taper'. Hero emphasizes the medical danger of unsupervised benzo withdrawal (seizure risk). Body: taper protocol + insurance + intake CTA. Phone (646-347-1892).",,Push2 sec2
PA-09,2,ON-02,REFRESH,M2,P0-must,/admission-overview,,addiction treatment brooklyn,"rehab admission brooklyn; same day rehab admission brooklyn",~250,pos 1-5 organic,CTR ≥4%,"Visible page-element refresh: H1 emphasize 24-hour same-day-admission + Red Hook location. Hero block walks through the 4-step admission flow with explicit time commitments. Body: insurance verification step + transportation assistance + Areas We Serve. Phone (646-347-1892) + form above fold.","High-intent conversion page; CTR lift compounds with SP-01/SP-02 rebuilds.",Push2 sec2
PA-10,2,ON-02,REFRESH,M2,P0-must,/about-us,,urban recovery brooklyn,"women owned rehab brooklyn; lgbtq rehab brooklyn",~120,pos 1-3,CTR ≥3%,"Visible page-element refresh: lead with women-owned/LGBTQ+-affirming/transgender-safespace differentiators in hero. Body: clinical-lead bio block (gated on Owner Items #4 consent). Phone + intake CTA. NO schema deploy this quarter.","UR's real commercial differentiators are sub-discoverable in the current /about-us page; lift differentiator to hero.",Push2 sec2
