task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
SP-01,Service Pages,M1,Onpage + Dev,Reverse Troy redirect — make /outpatient/troy the canonical (it's the URL Google indexes),"/outpatient/troy is the Troy page that ranks — 438 clicks / pos 4.66 / 48.8K imp on 365d. But right now that URL 301s to /outpatient-rehab-troy-ny, which gets 0 traffic. Google is indexing the URL we're redirecting away from. The page that gets traffic should be the destination, not the source.",Step 1: curl -I both URLs to confirm the current redirect direction. Step 2: reverse it — /outpatient-rehab-troy-ny should 301 to /outpatient/troy. Step 3: clean up the sitemap to list only the canonical URL. Step 4: GSC URL Inspection on the canonical URL to confirm Google sees it.,P0-must,1,Canonical Troy URL is /outpatient/troy and returns 200; legacy 301s to it; sitemap clean,—,HQDM/A - HQDM SOPs/Dev/301-Redirect-SOP
SP-02,Service Pages,M2,Onpage + Content,Audit /outpatient/troy post-SP-01 → rebuild only if page content is thin,"Once the redirect is reversed (SP-01), the page Google has been indexing is back as canonical. If that page already has substantive content (intake form, services, NAP, FAQ), the redirect fix alone should recover CTR — no rebuild needed. If it's thin (because the team built a new page elsewhere and left the canonical empty), rebuild using the standard template. Per §1c competitor churn, Troy is gaining +107 top-10 cells across 5 queries but Whitney M Young (+155) + Hope House Outpatient (+99) are pushing into 'outpatient rehab near me' top-3.","Step 1: view-source on /outpatient/troy post-SP-01. Check word count + intake form + services list + NAP + FAQ + reviews block. Step 2 (IF thin): rebuild per Conifer_Park_Outpatient_Pages_Plan.xlsx row=troy. 1,200-1,400 words. Schema: MedicalClinic + Place with Troy NAP (post-LG-TR-01 2431 vs 2435 resolution). Inline intake form. Step 3 (IF already substantive): light polish only — schema add + internal link cluster reinforcement.",P0-must,2 audit + 14 if rebuild needed,"Audit outcome documented in Outpatient_Pages_Plan.xlsx row=troy; if rebuild executed, page live + LD scans confirm 'outpatient rehab near me' top-3 floor ≥35 cells per §1b",Conifer_Park_Outpatient_Pages_Plan.xlsx (row: troy),HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-03,Service Pages,M2,Onpage + Content,Rebuild /outpatient/schenectady/ (Schenectady-funnel asset),"Schenectady is the weakest non-HQDM pin — 2.7★ × 10 reviews, beaten at #1 by New Choices (4.2★ × 28). Page GSC: 401 clicks / 37,630 imp / pos 5.91 / 1.066% CTR 365d. On-page rebuild is HQDM-deliverable even without GBP access — the site is shared with Glenville + Troy. Suboxone/MAT is the clinical anchor (Schenectady ranks #2 on suboxone Map Pack already).","Open Conifer_Park_Outpatient_Pages_Plan.xlsx row=schenectady. 1,200-1,400 words. Hero · Suboxone/MAT (primary clinical anchor — lead) · Services · About facility · Address+map · Insurance · Inline intake form · FAQ · Reviews · Areas served. Same-day MAT walk-in framing. Schema: MedicalClinic + Place + Service for MAT/Suboxone. Internal links from /services/medication-assisted-treatment + suburb pages.",P0-must,14,Page live; intake form lives; LD weekly scans show rank improvement on 'drug rehab schenectady' + Map Pack top-3 within Schenectady centroid,Conifer_Park_Outpatient_Pages_Plan.xlsx (row: schenectady),HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-04,Service Pages,M2,Onpage + Dev,Un-geo-lock 6 service pages from /service/*-in-glenville-ny → /services/*,6 /service/* pages carry '-in-glenville-ny' suffix locking them to Glenville-only geo intent. GSC: pos 20-40 / 1-42 clicks each 365d. These pages support BOTH Glenville and Troy + the 5 unmanaged outpatient pages via shared site. Network-wide hygiene.,Open Conifer_Park_Service_Pages_UnGeoLock.xlsx. For each of 6 rows: deploy new URL at /services/<slug>; 301 from /service/<slug>-in-glenville-ny → /services/<slug>; update sitemap; re-point internal links from homepage + all 7 outpatient pages; add Service schema with areaServed (NY State for network-wide; inpatient-catchment for Glenville-only services like detox). Sequence weekly + monitor weekly rank to enable rollback.,P0-must,20,All 6 service pages re-slugged + 301'd + internal links re-pointed; per-page rollback path documented; GSC 30-day post-deploy shows query intent expansion,Conifer_Park_Service_Pages_UnGeoLock.xlsx,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-05,Service Pages,M3,Onpage + Content,Rebuild /outpatient/glens-falls/ + /outpatient/syracuse/ + /outpatient/rochester/ (3 pages),"Three pages with high imp + low CTR drag. Glens Falls: 255c / 15,672 imp / pos 10.04 / 1.627% CTR. Syracuse: 354c / 38,385 imp / pos 11.75 / 0.922% CTR. Rochester: 422c / 51,508 imp / pos 9.36 / 0.819% CTR — highest impressions on the site but worst CTR + 2.7★ × 36 rating drag. On-page rebuild is HQDM-deliverable even without GBP access. Rochester lands its specific brief from CN-03 M1 diagnosis.","Open Conifer_Park_Outpatient_Pages_Plan.xlsx rows=glens-falls + syracuse + rochester. Rochester: 1,400-1,600 words with sliding-fee + insurance + CRO-focused architecture per CN-03 brief. Glens Falls: 1,200-1,400 words; resolve HTML-encoding artifacts ('&quot;'). Syracuse: 1,200-1,400 words; resolve city-vs-Liverpool geographic mismatch on-page (Liverpool physical / Syracuse market). All three: MedicalClinic + Place schema with per-pin NAP.",P0-must,30,3 pages live; intake forms live; HTML-encoding artifacts cleaned (Glens Falls); geographic disambiguation deployed (Syracuse); CRO-focused architecture deployed (Rochester); M3 CTR delta vs M1 baseline logged per page,"Conifer_Park_Outpatient_Pages_Plan.xlsx (rows: glens-falls, syracuse, rochester)",HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SP-06,Service Pages,M1,GBP Ops + Onpage,Service-page ↔ GBP services-list gap audit per pin (7 pins × site URL map),Core HQDM deliverable. Each of 7 GBPs lists services that should resolve to a real site URL — not the homepage. Today only Plattsburgh's GBP points to its location page; the other 6 dump on homepage. Glenville has 15+ services listed in its GBP (verified); Troy has zero. Audit closes the GBP↔site URL connection per pin and outputs the per-pin service mapping for execution (Glenville + Troy executable now; 5 unmanaged pins documented for when access opens).,Per pin: inventory current services on the GBP vs site catalog (/outpatient/<city>/ pages + /services/* network-wide + /inpatient hub). Map each GBP service to a real site URL where one exists. Flag gaps for SP-04 follow-through or Q3 page-build queue. Output: 1-tab spreadsheet — 7 pins × N service rows. Glenville + Troy rows feed LG-GV-02 + LG-TR-02 execution; 5 unmanaged-pin rows kept as audit-only outputs (recommendations the team-side can apply when access opens).,P0-must,3,Audit doc lists every GBP service → site URL mapping per pin (7 pins) + gap list per pin,Conifer_Park_GBP_Hygiene_Plan.xlsx (GBP_Services_Inventory tab),HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
SA-01_M1,Site Architecture,M1,Onpage,/suburb/* audit complete — 71 URLs bucketed (DELETE / NOINDEX / KEEP-AUDIT),71 templated /suburb/* doorways exist with adjective-stuffed slugs. Decision matrix already bucketed (12 DELETE for non-USGS hamlets; 59 NOINDEX for adjective-stuffed Capital Region targets; KEEP-AUDIT overrides applied where GSC clicks 365d > 5). March 2024 spam-policy exposure.,"Output already shipped — Conifer_Park_Suburb_Decisions.csv (71 rows). M1 task = verify decisions via spot-check (5 sample URLs against USGS GNIS + GSC), confirm clicks-override thresholds, sign-off for M3 execution batch.",P0-must,2,71-row decision sheet signed off; spot-check on 5 sample URLs complete; M3 execution cohort sized,Conifer_Park_Suburb_Decisions.csv,HQDM/A - HQDM SOPs/Content/Suburb-Page-SOP
SA-02,Site Architecture,M1,Onpage + Dev,Consolidate cannibal pages — 301 or rewrite to support the actual landing pages,"Orphan URLs compete with the real outpatient landing pages for the same query intent — they have impressions but no clicks because the canonical pages convert. Each splits topical authority. 4 confirmed cannibals: /serving-all-of-troy-ny (128 imp / 0 clicks), /professional-outpatient-rehab-in-troy-ny-cornifer-park (typo URL, 0 traffic), /rochester-review (6 imp / 0 clicks), /liverpoolreview (0 traffic).","Per Cannibal_Pages_Plan.xlsx: 301 /serving-all-of-troy-ny → /outpatient/troy; 301 /professional-outpatient-rehab-in-troy-ny-cornifer-park → /outpatient/troy (or 410 if no inbound links); /rochester-review + /liverpoolreview — check content first (if real review collection, rewrite as supporting blog with internal link UP to canonical /outpatient/<city>; else 301 to canonical). Default action: 301 to canonical.",P0-must,2,All 4 cannibal URLs handled per Cannibal_Pages_Plan.xlsx — either 301'd or rewritten with internal link up; sitemap clean; per-URL action logged,Conifer_Park_Cannibal_Pages_Plan.xlsx,HQDM/A - HQDM SOPs/Dev/301-Redirect-SOP
SA-01_M3,Site Architecture,M3,Onpage + Dev,Execute 71-suburb decisions — NOINDEX + DELETE + WordPress debris purge,After M1 audit + sign-off: NOINDEX the 59 adjective-stuffed Capital Region targets; DELETE (or 410) the 12 non-USGS micro-hamlets; preserve KEEP-AUDIT overrides. Also purge WordPress debris (/2013/* /2014/* /category/* /author/matt) from sitemap. Spam-policy hygiene benefits all pins via shared domain authority.,Per Conifer_Park_Suburb_Decisions.csv: NOINDEX via meta robots template hook (59 URLs); 410 DELETE bucket (12 URLs); leave KEEP-AUDIT (varies). WordPress debris: sitemap exclusion + meta robots noindex + admin path purge. GSC URL Inspection on 5 NOINDEX'd + 5 DELETE'd as sample.,P0-must,6,All 71 suburbs handled per sheet decision; WordPress debris removed from sitemap; GSC URL inspection confirms on sample of 10,Conifer_Park_Suburb_Decisions.csv,HQDM/A - HQDM SOPs/Content/Suburb-Page-SOP
OS-01,On-Page Schema,M3,Onpage + Dev,Page-level schema refactor — per-page MedicalClinic / Service / Review across 16 URLs,"Current schema is rich (homepage JSON-LD: 6× MedicalClinic + 4× MedicalProcedure + Organization + Person) but identical on every page — homepage and per-pin location pages carry the same blob. Lever is page-level specificity, not full deployment. Benefits all 7 pins via per-page MedicalClinic with own NAP.",Open Conifer_Park_Schema_Plan.xlsx — 16 URLs × current → target schema (homepage + all 6 outpatient pages + 6 service pages + about + admissions + contact). Use @id references to parent MedicalOrganization on homepage to avoid duplication. Apply 3-layer HQDM validation cascade (Wikidata Q-ID verifier + schema.org property validator + manual paste into validator.schema.org/RRT) before deploy.,P0-must,16,Rich Results Test pass on ≥80% of touched URLs; per-URL deploy log; no validation errors at deploy; 3-layer validation cascade passes,Conifer_Park_Schema_Plan.xlsx,HQDM/A - HQDM SOPs/On-Page/Schema-Deployment-SOP
CN-01_M1,Content,M1,Content,Top-5 high-impression blog refresh — title + FAQ schema,"5 blogs carry the bulk of blog impressions per decision_matrix.csv (filtered to AUDIT/KEEP/KEEP-AUDIT): how-long-does-kratom-last (653K imp / 2,617c / pos 12.17) · how-long-do-alcoholics-live (241K imp / 5,094c / pos 6.95) · does-acid-stay-in-your-spinal-cord (175K imp / 1,296c / pos 10.42) · being-drunk-and-being-high (172K imp / 594c / pos 9.25) · how-much-alcohol-can-kill-you (157K imp / 381c / pos 11.8). Title + FAQ schema is the cheapest CTR lever. Meta descriptions are auto-pulled by RankMath — out of scope here.",Open Conifer_Park_Blog_Refresh.xlsx filter month=M1 (5 top URLs). For each: rewrite title with 2026 freshness signal + intake CTA hook in first 200 words + FAQPage schema. Internal-link each to /admissions + /service/<relevant> + /inpatient. Submit GSC URL Inspection on all 5.,P0-must,5,5 titles live; FAQ schema renders in Rich Results Test on all 5; GSC URL inspection submitted; M2 baseline CTR captured,Conifer_Park_Blog_Refresh.xlsx,HQDM/A - HQDM SOPs/On-Page/Meta-Title-Refresh-SOP
CN-01_M2,Content,M2,Content,Top-5 blog refresh — contextual content update + internal linking,M1 establishes CTR baseline. M2 deepens ranking signal with content refresh: 2026 stat updates + internal link cluster reinforcement.,Open Conifer_Park_Blog_Refresh.xlsx filter month=M2 (same 5). Refresh 2026 stats + 3-5 contextual internal links per article pointing to /admissions + /services/* (post un-geo-lock) + /inpatient + /outpatient/<city>/. Cannibalization check against CN-02 supporting articles.,P0-must,6,5 articles updated with 2026 stats + 3-5 contextual links per article; cannibalization check log,Conifer_Park_Blog_Refresh.xlsx,HQDM/A - HQDM SOPs/Content/Blog-Refresh-SOP
CN-01_M3,Content,M3,Content + Aleksandar,Top-5 blog refresh — M3 measurement + amplification,Closes planned → executed → impact loop on the content lever. CTR + position + click delta against M1 baseline.,GSC export at M3 close: per-article position + impressions + CTR + clicks delta vs M1 baseline. Flag winners for amplification; flag laggards for diagnosis. Output feeds RP-01 close-out.,P0-must,3,M3 delta sheet: per-article position + imp + CTR + click delta vs M1 baseline + amplification/diagnosis flag list,Conifer_Park_Blog_Refresh.xlsx,HQDM/A - HQDM SOPs/Reporting/Quarterly-Close-Out-SOP
