task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
GBP-01,Local/GBP,M1,Local/GBP,GBP Posts M1 — 4 Posts with weekly cadence,"1 Post in scrape window 2026-05-08. Posts are documented Maps freshness signal. Direct competitor Detox & Drug/Alcohol Rehab Center NY (gaining +52 cells) has visible cadence. M1 topic mix includes 1 explicit Inpatient phrasing Post to counter SNF category drift on inpatient rehab (LD grid 85→75 cells).","Open Urban_Recovery_OffPage_Stack_Template.csv tab GBP_Posts filter month=M1. 4 Posts covering: owned-query topic (alcohol/drug rehab brooklyn) + Medicaid acceptance + Inpatient framing + LGBTQ+-affirming. Each Post links to relevant /services/* or /locations/red-hook-ny or /admission-overview per IL-60 in Internal_Linking_Map.csv. Image per Post geotagged 40.6754,-74.0148.",P0-must,2,4 GBP Posts published M1; one explicitly uses Inpatient phrasing; screenshot evidence filed,Urban_Recovery_OffPage_Stack_Template.csv + Urban_Recovery_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-02,Local/GBP,M1,Owner Asks + HQDM,GBP Services tab audit + custom descriptions,"GBP description doesn't currently surface MAT modalities. Services tab is a category-attribute signal that reinforces SP-02 service-page upgrade (M3). If UR offers MAT (Owner Items #1), add 5 MAT-specific Services with custom descriptions.","Open Urban_Recovery_GBP_Action_List.csv row GBP-02 for the specific Services + custom descriptions. Owner-side via AM: confirm 5 existing Services listed, add 100-200 char custom descriptions per row. If MAT offered, add 5 MAT-specific Services.",P0-must,2,5 existing Services have custom descriptions; MAT Services added if confirmed; HQDM verifies on GBP front-end,Urban_Recovery_GBP_Action_List.csv,HQDM/A - HQDM SOPs/Local-GBP/GBP-Audit-SOP
GBP-03,Local/GBP,M1,Local/GBP + intake,Review-velocity push — +20 reviews per month M1-M3,"111 reviews / 3.8★ / 23% 1-star share (26 of 111). Positive-volume dilution is the only competitive lever a single-location pin can pull at this scale. 1-star share is documented YMYL Maps deprioritization signal. Surfpoint sister-pin reached 4.8★ × 94 via this SOP.","Execute the per-step instructions in the HQDM Review-Velocity-SOP. Target +20 reviews M1, sustained M2-M3 → 170+ by M3 close. Intake team owns the operational layer; reporting team logs weekly count delta in REP-01.",P0-must,3,+20 new reviews logged in M1; weekly count delta visible in Urban_Recovery_Reporting_Master_Template.csv,Urban_Recovery_Reporting_Master_Template.csv,HQDM/A - HQDM SOPs/Local-GBP/Review-Velocity-SOP
GBP-04,Local/GBP,M2,Owner Asks + HQDM photo brief,GBP photo blitz — 7 → 30+,"Ascendant 90 photos / Mountainside 30. UR at 7 dramatically under-indexed. Photo count is documented E-E-A-T trust + Maps freshness signal.","Open Urban_Recovery_GBP_Action_List.csv row GBP-04. HQDM-side: deliver photo brief covering 6 categories + composition + HIPAA framing (Drive doc). Owner-side: upload 30+ photos within 60 days geotagged 40.6754,-74.0148. Categories: Exterior (4-6) + Interior treatment rooms (6-8) + Intake/lobby (3-5) + Staff with HIPAA framing (3-5) + Red Hook neighborhood (3-5) + Women-owned/LGBTQ+ environmental cues (3-5).",P0-must,4,30+ photos uploaded across 6 categories; verify via DataForSEO Business Data scrape,Urban_Recovery_GBP_Action_List.csv,HQDM/A - HQDM SOPs/Local-GBP/Photo-Upload-Brief
GBP-05,Local/GBP,M2,Local/GBP,GBP Posts M2 — 4 Posts linking to upgraded SP-01 + LP-02_M1 anchors,"Sustains M1 cadence and routes GBP→site traffic to upgraded SP-01 service page + Red Hook hub / Carroll Gardens / Gowanus anchors.","Open Urban_Recovery_OffPage_Stack_Template.csv tab GBP_Posts filter month=M2. 4 Posts; ≥2 link to upgraded SP-01 once live; ≥1 links to LP-02_M1 anchor; ≥1 uses Inpatient phrasing per IL-61.",P0-must,2,4 Posts; ≥2 link to SP-01; ≥1 links to LP-02_M1 URL; ≥1 uses Inpatient phrasing,Urban_Recovery_OffPage_Stack_Template.csv,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-06,Local/GBP,M3,Local/GBP,GBP Posts M3 + Services-tab final audit,"Continue Posts signal. Audit GBP Services tab — confirm all 5 service categories + MAT additions (if added in GBP-02) are live and visible.","Open Urban_Recovery_OffPage_Stack_Template.csv tab GBP_Posts filter month=M3. Ship 4 Posts (mix per row). Open GBP Manager; verify Services tab listings; capture in screenshot for REP-03.",P0-must,3,4 Posts published M3; GBP Services tab verified visible to consumers,Urban_Recovery_OffPage_Stack_Template.csv,HQDM/A - HQDM SOPs/Local-GBP/GBP-Services-Audit-SOP
GBP-07,Local/GBP,M3,Owner Asks via AM,Owner replies on all <4★ reviews,"26 1-star + 4 2-star reviews on the pin. Owner-replies reduce topic density of negative content in GBP review embeddings (place_topics derivation). Velocity sustainment confirms M1-M3 SOP execution.","Open Urban_Recovery_GBP_Action_List.csv row GBP-07. Owner-side via AM: reply to every <4★ review using HQDM Owner-Reply-SOP template (empathetic acknowledgment + outcome statement; HIPAA-compliant; no PHI; no legal defense).",P0-must,5,Every <4★ review has owner reply; +20 reviews logged M3; 1-star share <18%,Urban_Recovery_GBP_Action_List.csv,HQDM/A - HQDM SOPs/Local-GBP/Owner-Reply-SOP
GBP-08,Local/GBP,M1,Owner Asks via AM,GBP attributes + description tightening,"is_owned_by_women + welcomes_lgbtq + is_transgender_safespace are real commercial differentiators in NYC recovery. Attribute completeness + description signals (OASAS license + same-day admissions + borough access) reinforce entity completeness.","Open Urban_Recovery_GBP_Action_List.csv rows GBP-05 + GBP-06. Owner-side via AM: verify 4 attributes set + populate empty subsections + edit description to add 3 high-impact signals.",P1-should,2,4 attributes verified visible; description edit deployed; HQDM verifies on GBP front-end,Urban_Recovery_GBP_Action_List.csv,HQDM/A - HQDM SOPs/Local-GBP/GBP-Audit-SOP
HP-01,Site Architecture,M1,Aleksa,Homepage JSON-LD NAP fix (PA-01),"Homepage LocalBusiness JSON-LD telephone shows (646) 960-6656; GBP canonical is (646) 347-1892. Entity-trust mismatch in the only schema block sitewide. One-line schema fix.","Open Urban_Recovery_Pages_Action_List.csv row PA-01 for specific changes. View-source on urbanrecovery.com, replace LocalBusiness telephone with +1-646-347-1892. RRT pass. Request GSC re-crawl.",P0-must,1,View-source confirms GBP-canonical phone in JSON-LD; RRT pass; re-crawl requested,Urban_Recovery_Pages_Action_List.csv,HQDM/A - HQDM SOPs/On-Page/Homepage-Optimization-SOP
SP-01,Service Pages,M2,Aleksa + Content,Upgrade /services/alcohol-detoxification-service (PA-02),"Current 872-word doorway with 0 JSON-LD. UR pin-ranks 2.16 avg on alcohol rehab brooklyn on 13×13 grid. recovery center brooklyn 13.77K imp / 0 clicks @ pos 3.55 is conversion-leak headline; SP-01 carries the alcohol cluster of that intent.","Open Urban_Recovery_Pages_Action_List.csv row PA-02 for specific changes. Build to 1,400-1,600 words per Urban_Recovery_Push2_Service_Pages.md section 1. Service + LocalBusiness + FAQPage JSON-LD. Deploy internal links per Urban_Recovery_Internal_Linking_Map.csv rows IL-01 through IL-06. RRT pass before publish.",P0-must,14,Page live at 1,400+ words; Service + LocalBusiness + FAQPage schema validate; Request Indexing; 30-day rank + CTR captured in REP-02,Urban_Recovery_Pages_Action_List.csv + Urban_Recovery_Internal_Linking_Map.csv + Urban_Recovery_Push2_Service_Pages.md,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
