section,month,url_or_query,metric,baseline_value,target_60d,target_90d,m1_actual,m2_actual,m3_actual,status,notes
Per-URL Rank,M1,/,avg_pos,5.8,5.0,5.0,,,,baseline,Brand-query position - expect maintained as commercial queries split off
Per-URL Rank,M1,/drug-rehab-new-york-city,rank_drug-rehab-in-new-york-city,not-existent,30,8,,,,not-built,Tied to HP-01
Per-URL Rank,M1,/alcohol-treatment-new-york-city,rank_alcohol-treatment-new-york-city,not-existent,30,8,,,,not-built,Tied to HP-02
Per-URL Rank,M2,/drug-treatment-nyc,rank_drug-treatment-nyc,not-existent,30,8,,,,not-built,Tied to HP-03
Per-URL Rank,M2,/rehab-centers-nyc,rank_rehab-centers-in-nyc,not-existent,30,8,,,,not-built,Tied to HP-04
Per-URL Rank,M1,/locations/brooklyn,rank_rehab-brooklyn,not-existent,30,10,,,,not-built,Tied to BH-01
Per-URL Rank,M2,/locations/queens,rank_rehab-queens,not-existent,30,10,,,,not-built,Tied to BH-02
Per-URL Rank,M3,/locations/bronx,rank_rehab-bronx,81,30,10,,,,baseline,Tied to BH-03 (existing page being upgraded)
Per-URL Rank,M1,/services/medication-assisted-treatment,rank_methadone-clinic-harlem,9.7,top-5,top-3,,,,baseline,Tied to MAT-01
Per-URL Rank,M2,/services/dual-diagnosis,rank_dual-diagnosis-rehab-nyc,not-existent,30,15,,,,not-built,Tied to DD-01
Per-URL Rank,M1,/suburb/upper-east-side,rank_upper-east-side-rehab,24,15,10,,,,baseline,Tied to UES-01
Per-URL Rank,M1,/suburb/central-harlem-ny,rank_rehab-harlem,5.7,top-3,top-3,,,,baseline,Authority strengthened by CON-01 consolidation
Per-URL Rank,M2,/blog/suboxone-strips-vs-suboxone-pills,rank_suboxone-strips,16,top-10,top-5,,,,baseline,Tied to MAT-02 - blog refresh boosts rank
Maps,Q,grid-pos-dual-diagnosis-treatment-centers-nyc,avg_rank_140cells,1.98,maintain,maintain,,,,baseline,Owned - defend
Maps,Q,grid-pos-inpatient-drug-rehab-nyc,avg_rank_140cells,3.42,top-3,top-3,,,,baseline,Owned - push to consistent top-3
Maps,Q,grid-pos-inpatient-alcohol-rehab-nyc,avg_rank_140cells,3.39,top-3,top-3,,,,baseline,Owned - push to consistent top-3
Maps,Q,grid-pos-alcohol-rehab-nyc,avg_rank_140cells,3.79,top-3,top-3,,,,baseline,Climbing - push to consistent top-3
Maps,Q,grid-pos-alcohol-rehab-near-me,avg_rank_140cells,5.57,top-5,top-5,,,,baseline,Climbing
Maps,Q,grid-pos-addiction-treatment-nyc,avg_rank_140cells,6.61,top-5,top-5,,,,baseline,Climbing
Maps,Q,grid-pos-detox-near-me,avg_rank_140cells,5.47,top-5,top-5,,,,baseline,Stuck - NYS Detox forensic + place_topics expansion needed
