task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
BC-01,On-Page Brand Canonical,M1,Aleksa + Dev,"Sitewide title + H1 rewrite to ""Niagara Recovery"" canonical entity on 5 core pages","5/8 core pages (about / admissions / contact / treatments / areas-served) currently use ""Recovery Center of Niagara"" in title - bleeds 41% of branded demand (363 of 891 GBP searches Dec-May go to old brand)","Open Niagara_Recovery_Pages_Action_List.csv filter pillar=BC-01. Edit title + meta_description + H1 on the 5 core pages + sweep 4 service pages where dual brand appears in body copy. Validate with the Niagara_Recovery_Internal_Linking_Map.csv for footer/header link checks.",P0,4,"All 8 core pages have ""Niagara Recovery"" as titular brand entity; ""Recovery Center of Niagara"" appears 0 times in <title> + JSON-LD",Niagara_Recovery_Pages_Action_List,HQDM/A - HQDM SOPs/On-Page/Meta-Title-Refresh-SOP
BC-02,On-Page Schema,M1,Aleksa + Dev,LocalBusiness JSON-LD entity-name fix + WP-content image swap to live Webflow asset,"Live-fetch 2026-05-19: homepage + about + admissions JSON-LD references niagararecovery.com/wp-content/* image (WP migration debris on Webflow build); name field has dual-brand ambiguity","Update homepage LocalBusiness JSON-LD: name = ""Niagara Recovery""; image = live Webflow CDN asset; @id = canonical entity URL. Replicate on contact + about. Validate via validator.schema.org + Rich Results Test.",P0,2,"3 sampled pages pass validator.schema.org; image URL no longer references /wp-content/",Niagara_Recovery_Schema_Plan,HQDM/A - HQDM SOPs/On-Page/Schema-Deployment-SOP
BC-03,On-Page Bug Fix,M1,Aleksa,"Kill ""[phone number]"" placeholder live on alcohol-detox service page + Newfane dupe","Live-fetch 2026-05-19 confirms ""[phone number]"" string still rendered on /services/alcohol-detoxification-services + /services/alcohol-detoxification-services-in-newfane-ny - QA gap from initial Webflow build","Find/replace ""[phone number]"" with the canonical intake CTA ""(716) 203-8000"" on both URLs. Spot-check other service pages for same defect.",P0,0.5,Both URLs render canonical phone in body copy; zero ""[phone number]"" literals on any service page,Niagara_Recovery_Pages_Action_List,HQDM/A - HQDM SOPs/On-Page/Page-Refresh-SOP
BC-04,On-Page NAP Integrity,M1,Aleksa + Marija,"Fix Buffalo location page fabrication (""facility in Buffalo, NY 14215"")","Live-fetch 2026-05-19 confirms /locations/buffalo body copy claims ""our facility in Buffalo, NY 14215"" - false NAP signal (the only facility is in Newfane). Maps-trust risk.","Rewrite Buffalo location page body to truthful framing: ""we serve Buffalo metro from our 2600 William St Newfane facility, ~30min north"". Replace ZIP 14215 mention. Add explicit drive-time + service-area language.",P0,1.5,Page body says ""serving Buffalo metro from Newfane"" not ""facility in Buffalo"",Niagara_Recovery_Pages_Action_List,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
GBP-04,Local-GBP,M1,Miroslava + AM,"GBP service-area swap: drop 11 redundant micros, add 9 anchor towns","Service area is at 20/20 cap. 11 entries sit on 3 ZIPs (14094 x7, 14008 x3, 14172 x3) blocking entity claims for the 8 anchor towns where LD shows 100% cov + top-3 rank. Lockport / Cambria / Pendleton / Sanborn / Wheatfield / Youngstown / Lewiston / Clarence + N. Tonawanda all open.","Open Niagara_Recovery_GBP_Service_Area_Swap.csv. Remove the 11 entries marked DROP. Add the 9 entries marked ADD. Save in GBP Info > Service Area.",P0,1,"GBP Service Area shows 18 entries: 9 KEEPs + 9 ADDs (Lockport, Clarence, Cambria, Pendleton, Sanborn, Wheatfield, Youngstown, Lewiston, N. Tonawanda). 2 reserve slots for Q3.",Niagara_Recovery_GBP_Service_Area_Swap,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-05,Local-GBP,M1,Miroslava + Owner,"GBP photo blitz 6 -> 25 with category mix (facility / staff / treatment / outdoor / Newfane)","Current 6 photos = lowest of 12 WNY competitor GBPs scanned. Photo-density gap is a quantified Maps ranking lever per competitor benchmark.","Open Niagara_Recovery_GBP_Action_List.csv filter task=GBP-05. Owner upload 20+ owner-photos in batches (5 facility / 5 staff / 5 treatment / 5 outdoor / Newfane-specific). Tag categories per GBP.",P0,2,"GBP photo gallery shows 25+ owner-uploads, category mix of 5+ per type",Niagara_Recovery_GBP_Action_List,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-06,Local-GBP,M1,Miroslava,GBP Services tab audit + refinement of 10 service descriptions,"GBP intake 2026-05-19: 10 service entries already exist with descriptions. Push 3 will consolidate site /services URLs; GBP service descriptions should mirror final post-merge structure + reference suboxone / MAT explicitly (GBP-search demand 62 in 6mo for ""suboxone"").","Open Niagara_Recovery_GBP_Action_List.csv filter task=GBP-06. For each of 10 services: refine description (200 char max) to mirror post-merge site copy; add suboxone + MAT explicit services if missing.",P1,2,"GBP Services tab has 10-12 services with refined descriptions; suboxone + MAT explicit",Niagara_Recovery_GBP_Action_List,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-POST_M1,Local-GBP,M1,Miroslava,GBP Posts weekly cadence x 4 posts (M1: brand-canonical + alcohol detox + suboxone + Newfane facility),GBP intake shows only 1 recent post. Weekly cadence + topic-density bias toward addiction-clean kws drives Maps citation signal per place_topics gap analysis.,"Open Niagara_Recovery_OffPage_Stack_Template.csv tab GBP_Posts filter month=M1. Author 4 posts using the topic templates: brand-canonical / alcohol detox modality / suboxone MAT / Newfane facility tour.",P1,2,"4 Posts published M1 with topic-density bias toward priority kws",Niagara_Recovery_OffPage_Stack_Template,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-POST_M2,Local-GBP,M2,Miroslava,GBP Posts weekly cadence x 4 posts (M2: drug detox + benzo detox + payor topics + insurance),Same cadence rationale - sustain monthly Posts cadence to feed Maps Posts-recency signal.,"Open Niagara_Recovery_OffPage_Stack_Template.csv tab GBP_Posts filter month=M2.",P1,2,4 Posts published M2,Niagara_Recovery_OffPage_Stack_Template,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
GBP-POST_M3,Local-GBP,M3,Miroslava,GBP Posts weekly cadence x 4 posts (M3: short-term residential + DBT + WNY break-out + brand-canonical reinforcement),Same cadence rationale.,"Open Niagara_Recovery_OffPage_Stack_Template.csv tab GBP_Posts filter month=M3.",P1,2,4 Posts published M3,Niagara_Recovery_OffPage_Stack_Template,HQDM/A - HQDM SOPs/Local-GBP/GBP-Posts-SOP
