task_id,pillar,month,owner,action,why,how,priority,estimated_hours,acceptance,document_reference,sop_reference
HP-01,Site Architecture,M1,Aleksa + Content + Dev,Build /drug-rehab-new-york-city landing page (PA-01),Homepage ranks pos 11-21 for 9 commercial NYC queries totaling 17100 monthly vol. drug rehab in new york city (3600) + drug rehab nyc (3600) = 7200 vol routed through one URL. Single URL cannot rank top 5 for 9 different commercial intents simultaneously.,Open Elev8_Pages_Action_List.csv row PA-01 for specific_changes column. Implement page per Elev8_Push1_Homepage_Split.docx section 1. Then open Elev8_Internal_Linking_Map.csv rows IL-01 through IL-06 to deploy the 6 inbound/outbound internal links.,P0-must,8,Page indexed within 14d; ranks top 30 on primary query within 30d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv + Elev8_Push1_Homepage_Split.docx,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
HP-02,Site Architecture,M1,Aleksa + Content + Dev,Build /alcohol-treatment-new-york-city landing page (PA-02),alcohol treatment new york city 880 vol pos 11 + new york city alcohol rehab 880 vol pos 24 = 1760 vol stuck on homepage. Splitting unlocks page-1 push on both variants.,Open Elev8_Pages_Action_List.csv row PA-02 + Elev8_Internal_Linking_Map.csv rows IL-07 through IL-10. Brief: Elev8_Push1_Homepage_Split.docx section 2.,P0-must,8,Page indexed within 14d; ranks top 30 on primary query within 30d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
HP-03,Site Architecture,M2,Aleksa + Content + Dev,Build /drug-treatment-nyc landing page (PA-03),drug treatment nyc 3600 vol pos 21 + drug treatment center new york 3600 pos 54 + drug treatment centers in new york 3600 pos 36 = 10800 vol across three phrase variants all hitting homepage.,Open Elev8_Pages_Action_List.csv row PA-03 + IL-11. Brief: Elev8_Push1_Homepage_Split.docx section 3.,P0-must,8,Page indexed within 14d; ranks top 30 on primary query within 30d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
HP-04,Site Architecture,M2,Aleksa + Content + Dev,Build /rehab-centers-nyc landing page (PA-04),Four centers-plural variants combined 7600 vol all hitting homepage at pos 16-59: rehab centers in nyc 1900 + nyc rehab centers 1900 + new york rehab centers 1900 + new york city rehab centers 1900.,Open Elev8_Pages_Action_List.csv row PA-04 + IL-12. Brief: Elev8_Push1_Homepage_Split.docx section 4. This page also becomes the parent that links OUT to BH-01/02/03 borough hubs via 'Borough access' section.,P0-must,8,Page indexed within 14d; ranks top 30 on primary query within 30d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
HP-05,Site Architecture,M3,Aleksa,Homepage refocus rewrite (PA-05),Homepage at pos 5.8 for brand queries (1280 imp 251 clicks) AND pos 21 for 9 commercial NYC kws (15050 imp 198 clicks) - can't do both well. After PA-01 through PA-04 absorb commercial queries homepage can focus on brand + clinical philosophy + routing.,Open Elev8_Pages_Action_List.csv row PA-05 for specific_changes. Brief: Elev8_Push1_Homepage_Split.docx section 5. Remove deep service detail substance lists levels-of-care comparison; keep hero brand promise credentials grid contact FAQ; outbound nav to 4 new landing pages.,P1-stretch,6,Homepage drops rank on commercial queries (expected) while gaining on brand queries; new landing pages absorb commercial volume,Elev8_Pages_Action_List.csv,HQDM/A - HQDM SOPs/On-Page/Homepage-Optimization-SOP
BH-01,Site Architecture,M1,Aleksa + Content + Dev,Build /locations/brooklyn borough hub (PA-06),detox brooklyn 267 imp pos 65 + rehab brooklyn 180 imp pos 45 + drug rehab brooklyn 105 imp pos 50 = 552 imp/90d at page 5+. Maps cannot deliver Brooklyn from a single Harlem pin (verified across 10 out-of-grid coords - off top 20 in 89 of 89 SERPs). Organic SERP is the only path.,Open Elev8_Pages_Action_List.csv row PA-06 + Elev8_Internal_Linking_Map.csv rows IL-13 through IL-18. Brief: Elev8_Push2_Borough_Hubs.docx section 1.,P0-must,10,Page indexed within 14d; ranks top 30 on rehab brooklyn within 45d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
BH-02,Site Architecture,M2,Aleksa + Content + Dev,Build /locations/queens borough hub (PA-07),detox queens 538 imp pos 48 + rehab queens 35 imp pos 59. detox queens has the highest GSC impression volume of any borough query - biggest gain potential.,Open Elev8_Pages_Action_List.csv row PA-07 + Elev8_Internal_Linking_Map.csv rows IL-19 through IL-25. Brief: Elev8_Push2_Borough_Hubs.docx section 2. Critical: this task depends on GBP-01 (fix Astoria OR typo) shipping first - Maps signal alignment.,P0-must,10,Page indexed within 14d; ranks top 30 on rehab queens within 45d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
BH-03,Site Architecture,M3,Aleksa + Content + Dev,Upgrade /locations/bronx borough hub (PA-08),rehab bronx 103 imp pos 45 + drug rehab bronx 30 imp pos 46. Current /locations/bronx ranks pos 81 - rewrite preserves URL signal. Bronx has 10+ existing /suburb/* pages - hub amplifies network via internal-link.,Open Elev8_Pages_Action_List.csv row PA-08 + Elev8_Internal_Linking_Map.csv rows IL-26 through IL-36 (11 internal links - strongest of the 3 borough hubs). Brief: Elev8_Push2_Borough_Hubs.docx section 3.,P0-must,10,Page indexed within 14d; ranks top 30 on rehab bronx within 45d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/Content/Location-Page-Build-SOP
MAT-01,Service Pages,M1,Aleksa + Content + Dev,Build /services/medication-assisted-treatment hub (PA-09),methadone clinic harlem 138 imp pos 9.7 on the homepage (no dedicated MAT page). GBP description names MAT but Services list lacks it. /blog/suboxone-strips-vs-suboxone-pills ranks pos 16-22 for 15300 vol with no commercial pull-through.,Open Elev8_Pages_Action_List.csv row PA-09 + Elev8_Internal_Linking_Map.csv rows IL-37 through IL-41. Brief: Elev8_Push3_MAT_Hub.docx section 1.,P0-must,10,Page indexed within 14d; methadone clinic harlem moves top 5 within 60d; suboxone strips blog moves top 10 within 60d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/On-Page/Service-Page-Build-SOP
MAT-02,Content,M2,Content,Refresh /blog/suboxone-strips-vs-suboxone-pills with MAT hub pull-through (PA-10),Blog earns 15300 vol pos 16-22 on commercial-adjacent MAT intent. Zero pull-through to a service page. Once MAT hub exists this becomes a routing problem.,Open Elev8_Pages_Action_List.csv row PA-10 for specific changes; deploy IL-42 + IL-43 internal links. Brief: Elev8_Push3_MAT_Hub.docx section 2.,P0-must,2,Blog has 2 links to MAT hub; click-through measurable in GA4 within 30d,Elev8_Pages_Action_List.csv + Elev8_Internal_Linking_Map.csv,HQDM/A - HQDM SOPs/Content/Blog-Refresh-SOP
