page_id,push,task_id,action_type,month,priority,url,redirect_target_url,target_primary_query,target_secondary_queries,target_volume_monthly,current_rank,target_rank_60d,specific_changes,why_data,brief_section
PA-01,1,HP-01,BUILD,M1,P0-must,/drug-rehab-new-york-city,,drug rehab in new york city,"drug rehab nyc; drug rehab in nyc",7200,homepage pos 12,pos 8,"H1 Drug Rehab in New York City - Inpatient + Medical Detox in Harlem; hero block with Harlem location + 24h admissions; 5 levels of care anchor-linked to existing service pages; substances treated block; clinical model section; insurance block; credentials grid; admissions flow; FAQ 5-7 Qs; CTA footer; 1800-2500 words; MedicalBusiness + Service + FAQPage + BreadcrumbList schema","Homepage forced to rank for 9 commercial NYC kws simultaneously at pos 11-21. drug rehab in new york city (3600 vol) + drug rehab nyc (3600) = 7200 vol routed through one URL.",Push1 sec1
PA-02,1,HP-02,BUILD,M1,P0-must,/alcohol-treatment-new-york-city,,alcohol treatment new york city,"new york city alcohol rehab; alcohol rehab nyc",1760,homepage pos 11-24,pos 6,"Same template as PA-01 with alcohol-specific clinical detail. Emphasize medical-detox safety for alcohol withdrawal vs at-home detox risk. Alcohol use disorder framing. Alcohol-specific dual-diagnosis (depression + anxiety + PTSD overlap). FAQ on alcohol withdrawal danger + same-day detox.","alcohol treatment new york city 880 vol pos 11 + new york city alcohol rehab 880 vol pos 24 = 1760 vol stuck on homepage. Splitting unlocks page-1 push on both variants.",Push1 sec2
PA-03,1,HP-03,BUILD,M2,P0-must,/drug-treatment-nyc,,drug treatment nyc,"drug treatment center new york; drug treatment centers in new york",10800,homepage pos 21-54,pos 8,"Differentiate from PA-01 by comprehensive-care framing (treatment > rehab-only). Continuum framing: detox to rehab to outpatient to aftercare. Multi-level entry points. Family-decision framing. FAQ on treatment vs rehab semantic.","drug treatment nyc 3600 vol pos 21 + drug treatment center new york 3600 pos 54 + drug treatment centers in new york 3600 pos 36 = 10800 vol across three phrase variants all hitting homepage. Same-intent queries demand single landing page.",Push1 sec3
PA-04,1,HP-04,BUILD,M2,P0-must,/rehab-centers-nyc,,rehab centers in nyc,"nyc rehab centers; new york rehab centers; new york city rehab centers",7600,homepage pos 16-59,pos 8,"Centers plural framing - multi-program facility positioning. Program directory comparison table (7 programs side-by-side). Facility/amenities Harlem-pin physical access. Credentials grid prominent. Borough access sub-sections feeding borough hubs (BH-01/02/03).","Four centers-plural variants combined 7600 vol all hitting homepage at pos 16-59: rehab centers in nyc (1900) + nyc rehab centers (1900) + new york rehab centers (1900) + new york city rehab centers (1900).",Push1 sec4
PA-05,1,HP-05,REWRITE,M3,P1-stretch,/,,elev8 centers (brand),"elev8 recovery; elev8 harlem; elev8 detox",1583,pos 5.8 brand / pos 21 commercial,pos 3 brand,"After PA-01 through PA-04 absorb commercial NYC queries homepage refocuses on brand + clinical philosophy. Remove deep service detail substance lists levels-of-care comparison. Keep hero brand promise credentials grid contact FAQ. Outbound navigation to the 4 new landing pages.","Homepage currently ranks pos 5.8 for elev8 centers + brand variants (1280 imp 251 clicks) AND pos 21 for 9 commercial NYC kws (15050 imp 198 clicks). Can't do both well. Split was Push 1 1-4; HP-05 cleans up homepage to focus on brand + routing.",Push1 sec5
PA-06,2,BH-01,BUILD,M1,P0-must,/locations/brooklyn,,rehab brooklyn,"detox brooklyn; drug rehab brooklyn",552,not-existent / homepage pos 45-65,pos 10,"Brooklyn-specific clinical access transportation surrounding-neighborhoods admissions; Brooklyn subway lines L J Z A D direct to Harlem; sub-sections for Bushwick Williamsburg Bedford-Stuyvesant Crown Heights Greenpoint; FAQ Brooklyn-resident-specific; link to existing /suburb/ Brooklyn pages once built; MedicalBusiness + Service + FAQPage + BreadcrumbList schema; 1500-2200 words","detox brooklyn 267 imp pos 65 + rehab brooklyn 180 imp pos 45 + drug rehab brooklyn 105 imp pos 50 = 552 imp/90d at page 5+. Maps cannot deliver Brooklyn from Harlem pin (verified 10 out-of-grid coords - off top 20 in 89 of 89 SERPs). Organic-only path.",Push2 sec1
PA-07,2,BH-02,BUILD,M2,P0-must,/locations/queens,,rehab queens,"detox queens",573,not-existent / homepage pos 48-59,pos 10,"Queens-specific copy with N W 7 train to Manhattan then transfer at 59th St express uptown to 125th St. Sub-sections for Astoria LIC Sunnyside Forest Hills Jackson Heights Whitestone. Link to existing /suburb/rehab-center-in-ditmars-steinway and /suburb/preferred-rehabilitation-facility-in-hunters-point-ny and /suburb/premium-rehabilitation-facility-in-astoria-heights-ny","detox queens 538 imp pos 48 + rehab queens 35 imp pos 59 = 573 imp/90d. detox queens has the highest GSC impression volume of any borough query - biggest gain potential.",Push2 sec2
PA-08,2,BH-03,UPGRADE,M3,P0-must,/locations/bronx,,rehab bronx,"drug rehab bronx",133,pos 81,pos 10,"Existing page ranks pos 81 - rewrite preserves URL signal. Bronx-specific clinical access; 2 or 5 line direct to 135th St; sub-sections for South Bronx Mott Haven Highbridge Hunts Point Concourse Village Morris Heights Tremont Belmont West Farms; strong internal-link block to ~10 existing Bronx /suburb/* pages","rehab bronx 103 imp pos 45 + drug rehab bronx 30 imp pos 46 = 133 imp/90d. Current /locations/bronx page ranks pos 81 (DataForSEO Labs). Bronx has deepest existing /suburb/* coverage (10+ pages) - hub amplifies network via internal-link.",Push2 sec3
PA-09,3,MAT-01,BUILD,M1,P0-must,/services/medication-assisted-treatment,,methadone clinic harlem,"methadone clinic nyc; suboxone clinic nyc; mat treatment nyc; medication assisted treatment nyc; buprenorphine clinic nyc",~500,pos 9.7 organic on methadone harlem; no on-site MAT page,top 5,"4 MAT modalities sub-sections (Methadone Suboxone Vivitrol Naltrexone); MAT for opioid/alcohol/stimulant overlap; clinical model OASAS-certified + Joint Commission + CBT + trauma-informed; insurance & Medicaid; access from across NYC link to borough hubs; FAQ 7-9 Qs on MAT (is MAT replacing one addiction, suboxone vs methadone, insurance coverage, etc.); 2200-2800 words; MedicalProcedure subtypes per modality; FAQPage; BreadcrumbList","methadone clinic harlem 138 imp pos 9.7 on the homepage (no dedicated MAT page exists). GBP description names MAT prominently but Services list lacks it. /blog/suboxone-strips-vs-suboxone-pills ranks pos 16-22 for 15300 vol (suboxone strips 9900 + suboxone pills 5400) with no commercial pull-through.",Push3 sec1
PA-10,3,MAT-02,REFRESH,M2,P0-must,/blog/suboxone-strips-vs-suboxone-pills,,suboxone strips,"suboxone pills",15300,pos 16-22,pos 8,"Light-touch refresh - preserve informational body. Add intro CTA box (above-fold first paragraph) linking to /services/medication-assisted-treatment. Add end-block 'When to seek MAT' 200-word section + link. Update sidebar related-posts to top-position MAT hub link. Verify Article schema.","Blog earns 15300 vol pos 16-22 on commercial-adjacent MAT intent (suboxone strips 9900 + suboxone pills 5400). Zero commercial pull-through to a service page. Once MAT hub exists this is routing problem.",Push3 sec2
