link_id,push,task_id,month,priority,from_url,to_url,anchor_text,placement,why
IL-01,1,HP-01,M1,P0-must,/,/drug-rehab-new-york-city,Drug Rehab NYC,Primary nav + homepage hero CTA,Routes commercial drug-rehab intent off homepage to dedicated landing page
IL-02,1,HP-01,M1,P0-must,/rehab-centers-nyc,/drug-rehab-new-york-city,Drug rehab programs,Body section "Program directory",Cross-link landing-page suite
IL-03,1,HP-01,M1,P0-must,/drug-rehab-new-york-city,/services/drug-detox-services,Medical detox in NYC,Levels-of-care section anchor 1,Internal-link continuum from rehab landing to detox service
IL-04,1,HP-01,M1,P0-must,/drug-rehab-new-york-city,/services/inpatient-rehabilitation-services,Inpatient drug rehab,Levels-of-care anchor 2,Continuum link
IL-05,1,HP-01,M1,P0-must,/drug-rehab-new-york-city,/services/medication-assisted-treatment,MAT for opioid addiction,Substances-treated section,Routes substance-specific intent to MAT hub (once PA-09 ships)
IL-06,1,HP-01,M1,P0-must,/drug-rehab-new-york-city,/services/dual-diagnosis,Co-occurring disorders treatment,Clinical model section,Routes mental-health overlap to DD hub (once PA-14 ships)
IL-07,1,HP-02,M1,P0-must,/,/alcohol-treatment-new-york-city,Alcohol Treatment NYC,Primary nav + homepage hero,Routes alcohol intent off homepage
IL-08,1,HP-02,M1,P0-must,/rehab-centers-nyc,/alcohol-treatment-new-york-city,Alcohol treatment programs,Body section,Cross-link
IL-09,1,HP-02,M1,P0-must,/alcohol-treatment-new-york-city,/services/alcohol-detox-program,Medical alcohol detox,Levels-of-care section,Continuum link
IL-10,1,HP-02,M1,P0-must,/alcohol-treatment-new-york-city,/blog/alcohol-detox-drink,Why at-home detox is dangerous,Body section,Reciprocal-link with BLG-01 informational pull-through
IL-11,1,HP-03,M2,P0-must,/,/drug-treatment-nyc,Drug Treatment NYC,Primary nav,Routes treatment-phrase variant intent
IL-12,1,HP-04,M2,P0-must,/,/rehab-centers-nyc,Rehab Centers NYC,Primary nav,Routes centers-plural variants
IL-13,2,BH-01,M1,P0-must,/,/locations/brooklyn,Brooklyn,Footer "Service Areas",Borough hub entry point
IL-14,2,BH-01,M1,P0-must,/rehab-centers-nyc,/locations/brooklyn,Rehab access from Brooklyn,Body section "Borough access",Routes Brooklyn-resident intent
IL-15,2,BH-01,M1,P0-must,/locations/brooklyn,/services/drug-detox-services,Medical detox for Brooklyn residents,Levels-of-care section,Service continuum
IL-16,2,BH-01,M1,P0-must,/locations/brooklyn,/services/inpatient-rehabilitation-services,Inpatient rehab,Levels-of-care section,Service continuum
IL-17,2,BH-01,M1,P0-must,/locations/brooklyn,/services/medication-assisted-treatment,MAT for Brooklyn residents,Levels-of-care section,Service continuum
IL-18,2,BH-01,M1,P0-must,/locations/brooklyn,/services/dual-diagnosis,Dual diagnosis care,Levels-of-care section,Service continuum
IL-19,2,BH-02,M2,P0-must,/,/locations/queens,Queens,Footer "Service Areas",Borough hub entry
IL-20,2,BH-02,M2,P0-must,/rehab-centers-nyc,/locations/queens,Rehab access from Queens,Body "Borough access",Routes Queens intent
IL-21,2,BH-02,M2,P0-must,/locations/queens,/suburb/rehab-center-in-ditmars-steinway,Ditmars-Steinway neighborhood,Neighborhoods section,Routes to existing /suburb/ Queens page
IL-22,2,BH-02,M2,P0-must,/locations/queens,/suburb/preferred-rehabilitation-facility-in-hunters-point-ny,Hunters Point access,Neighborhoods section,Routes to existing /suburb/
IL-23,2,BH-02,M2,P0-must,/locations/queens,/suburb/premium-rehabilitation-facility-in-astoria-heights-ny,Astoria Heights,Neighborhoods section,Routes to existing /suburb/
IL-24,2,BH-02,M2,P0-must,/locations/queens,/services/drug-detox-services,Medical detox,Levels-of-care section,Service continuum
IL-25,2,BH-02,M2,P0-must,/locations/queens,/services/medication-assisted-treatment,MAT in Queens-to-Harlem proximity,Levels-of-care section,Service continuum
