task_id,pillar,target_pin,month_when_unblocked,action,why,notes,owner,acceptance,estimated_hours,priority,source_sop,unblocked_by
P-COP-01,GBP base optimization,Carmel OP,M1 after access,GBP description rewrite — Carmel OP (defend posture),"Carmel OP currently has 201-char description. The pin co-ranks at #2 alongside Inpatient at #1 across the Carmel grid (both AA pins appear in all 169 cells). Defend posture only — light description refresh, NO aggressive tactics on a strong-ranking pin per asymmetric risk principle.","Bring 201 → 720 chars. Pack outpatient SUD treatment + MAT continuation + IOP + dual-dx OP + Carmel Hamlet + insurance accepted (Aetna / Medicare / Medicaid / Tricare) + intake phone. NO keyword stuffing. Reference /outpatient/carmel-outpatient + /service/medication-assisted-therapy + /service/psychiatric-services by named services.",GBP Ops + Aleksandar,New description live in knowledge panel; screenshot,1,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Carmel OP GBP
P-COP-02,GBP base optimization,Carmel OP,M1 after access,GBP services-list completion — Carmel OP,"Currently the GBP services list is sparse vs the site's actual /outpatient/carmel-outpatient + /service/* catalog. Each service item should link to a real site page per C1-13 audit output.","Add: 'Outpatient Counseling' → /outpatient/carmel-outpatient; 'MAT Continuation' → /service/medication-assisted-therapy; 'IOP' → /outpatient/carmel-outpatient (anchor or build); 'Psychiatric Services' → /service/psychiatric-services; 'Recovery Coaching' → /service/recovery-coach; 'Alumni / Aftercare' → /service/alumni. Custom 700-char descriptions per service per GBP Optimization SOP.",GBP Ops + Aleksa,All services listed with custom descriptions + each URL points to a real site page,1.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Carmel OP GBP
P-COP-03,GBP base optimization,Carmel OP,M1 after access,GBP category expansion — Carmel OP,"Currently 1 category (Addiction treatment center). Add clinically-true secondaries to broaden keyword surface — cap at 4-5 because Carmel OP is a strong-ranking pin (defend posture, not aggressive expansion).","Add: Alcoholism treatment program + Mental health service + Rehabilitation center. Target 4. Counselor / Psychiatrist categories gated on clinical-roster confirmation (Ownership Doc).",GBP Ops + Aleksa,Categories at 4; all clinically true,0.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Carmel OP GBP
P-COP-04,GBP base optimization,Carmel OP,M1 after access,GBP attribute completion — Carmel OP,Currently 2 attributes. Attribute additions are filter-eligibility signals — Maps users filtering by accessibility / amenities / service-options only see GBPs with those attributes set.,"Add: service_options:has_onsite_services + accessibility:has_wheelchair_accessible_parking + amenities:has_restroom_unisex + identifies-as (if applicable per Ownership Doc) + payments:Medicaid_accepted. Target 6.",GBP Ops,Attribute count ≥6; filter eligibility verified,0.5,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Carmel OP GBP
P-COP-05,GBP base optimization,Carmel OP,M2 after access,GBP Posts defensive cadence — Carmel OP (1-2/week),"Carmel OP currently has 0 active Posts. 1-2/week defensive cadence on a strong pin maintains freshness signal without spam-pattern risk. Each Post links to a corresponding /outpatient/carmel-outpatient or /service/* page per §06 GBP↔site connection plan.","1-2 Posts/week: outpatient counseling availability / MAT continuation / insurance / IOP enrollment / Carmel Hamlet community content. Each Post links to a corresponding site page. NO ExifTool image injection on Carmel OP — defend posture per don't-touch-the-ranking-pin principle.",GBP Ops,≥8 Posts shipped on Carmel OP by end of M2; each links to a corresponding site page; image audit confirms no metadata injection,3,P1-stretch,GBP Optimization SOP (Drive),Manager access on Carmel OP GBP
P-COP-06,GBP base optimization,Carmel OP,M2 after access,Owner-reply to all <4-star reviews — Carmel OP,Carmel OP has 42.9% 1-star content density on 7 reviews (~3 negative reviews). Small absolute count but high %; owner-replies establish trust + provide site-URL references for future patients reading reviews.,Empathy + outcome statement per HQDM Review-response SOP on every <4-star review. Reference specific /outpatient/carmel-outpatient or /service/* page where contextually appropriate. Owner replies only; no review-generation drip on a #1 pin.,GBP Ops,Every <4-star Carmel OP review has an owner reply with site URL where applicable,0.5,P1-stretch,HQDM Review-response SOP,Manager access on Carmel OP GBP
P-COP-07,GBP base optimization,Carmel OP,M1 after access,GBP Q&A seeding — Carmel OP (first mover in market),"Carmel OP has 0 captured Q&As on its public profile — clean slate. Same first-mover opportunity as Inpatient (G-INPC-07): no competitor has owner-answered Q&As. 10-15 seeded Q&As + replies = 10-15 contextual internal links into the site at ~5 min/each.","Per HQDM GMB Q&A Optimization SOP. Seed 10-15 patient-facing Q&As via aged-Gmail pool for asking + info@ for replies. Topics: insurance / Medicaid / MAT continuation / IOP enrollment / family involvement / intake hours / parking / Spanish-language services / dual diagnosis / methadone continuation (Carmel area). Each reply references a corresponding /outpatient/carmel-outpatient or /service/* URL.",GBP Ops + Aleksa,10-15 Q&As live and owner-answered; each reply references a site URL where applicable,2,P0-must,GMB Q&A Optimization SOP (Drive),Manager access on Carmel OP GBP
P-COP-08,GBP base optimization,Carmel OP,M1 after access,ExifTool keyword-injection + re-upload existing 2 photos — Carmel OP,"Carmel OP has 2 photos. Even before net-new intake (Ownership Doc), existing photos can be re-processed through ExifTool to inject keywords + GPS metadata per Maps Training Manual SOP Step 1. Net-new photo target 25+ depends on Ownership Doc commitment.","Per GBP Maps Training Manual SOP Step 1: Run both existing Carmel OP photos through ExifTool to inject target keywords (drug rehab Carmel + outpatient + Carmel Hamlet + Putnam County) + GPS coord matching 21 Old Rte 6. Re-upload via GBP Manager. Net-new photo intake decision in Ownership Doc item 8.",Julce + GBP Ops,2 photos re-uploaded with injected metadata; net-new intake decision logged in Ownership Doc,0.5,P0-must,GBP Maps Training Manual SOP (Drive) Step 1,Manager access on Carmel OP GBP
P-BOP-01,GBP base optimization,Bronx OP,M1 after access,GBP description rewrite — Bronx OP,Currently 314 chars. Bronx OP is in the unknown-rank pin (no LD grid yet — see G-CORE-01). Description rewrite is the lowest-effort opening move regardless of rank state.,"Bring 314 → 720 chars. Pack outpatient SUD / MAT / Medicaid + Aetna + Tricare / Bronx neighborhoods (Fordham + Williamsbridge + Norwood + Tremont) / intake hours / Spanish-language services if applicable.",GBP Ops + Aleksandar,New description live in knowledge panel; screenshot,1,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Bronx OP GBP
P-BOP-02,GBP base optimization,Bronx OP,M1 after access,GBP services-list completion — Bronx OP,"Each service should link to a real site page per C1-13 audit. Today's /outpatient/bronx-outpatient is the main destination + relevant /service/* pages.",Outpatient counseling + MAT continuation + IOP + dual-diagnosis OP. Custom 700-char descriptions per service. Each URL → /outpatient/bronx-outpatient or relevant /service/* page.,GBP Ops,All services listed; verified in GBP Manager,1,P0-must,GBP Optimization SOP [2026 Updated] (Drive),Manager access on Bronx OP GBP
